#Spidr data output file in ASCII format created at 2014-09-12 19:28
#GMT time is used
#
#
#--------------------------------------------------
#>
#Element: dstql
#Description: DST Quick Look (QL) Index
#Measure units: nT
#Origin: 
#
#
#Sampling: 1 hour
#Missing value: 1.0E33
#>
#yyyy-MM-dd HH:mm value qualifier description
2009-07-25 01:00 -16.0   ""   ""
2009-07-25 02:00 -18.0   ""   ""
2009-07-25 03:00 -16.0   ""   ""
2009-07-25 04:00 -16.0   ""   ""
2009-07-25 05:00 -13.0   ""   ""
2009-07-25 06:00 -13.0   ""   ""
2009-07-25 07:00 -14.0   ""   ""
2009-07-25 08:00 -13.0   ""   ""
2009-07-25 09:00 -14.0   ""   ""
2009-07-25 10:00 -14.0   ""   ""
2009-07-25 11:00 -13.0   ""   ""
2009-07-25 12:00 -15.0   ""   ""
2009-07-25 13:00 -14.0   ""   ""
2009-07-25 14:00 -13.0   ""   ""
2009-07-25 15:00 -12.0   ""   ""
2009-07-25 16:00 -10.0   ""   ""
2009-07-25 17:00 -9.0   ""   ""
2009-07-25 18:00 -9.0   ""   ""
2009-07-25 19:00 -11.0   ""   ""
2009-07-25 20:00 -12.0   ""   ""
2009-07-25 21:00 -11.0   ""   ""
2009-07-25 22:00 -10.0   ""   ""
2009-07-25 23:00 -12.0   ""   ""
#>
#Element: flux
#Description: Solar radio flux
#Measure units: W/m^2/Hz
#Origin: 
#
#
#Sampling: 1 day
#Missing value: 1.0E33
#>
#yyyy-MM-dd HH:mm value qualifier description
2009-07-20 00:00 70.4   ""   ""
2009-07-21 00:00 69.9   ""   ""
2009-07-22 00:00 70.0   ""   ""
2009-07-23 00:00 69.9   ""   ""
2009-07-24 00:00 70.5   ""   ""
2009-07-25 00:00 71.2   ""   ""
#>
#Element: kp
#Description: Kp index
#Measure units: steps
#Origin: 
#
#
#Sampling: 3 hours
#Missing value: 1.0E33
#>
#yyyy-MM-dd HH:mm value qualifier description
2009-07-20 00:00 0.3   ""   ""
2009-07-20 03:00 1.3000001   ""   ""
2009-07-20 06:00 1.3000001   ""   ""
2009-07-20 09:00 2.0   ""   ""
2009-07-20 12:00 1.7   ""   ""
2009-07-20 15:00 2.3   ""   ""
2009-07-20 18:00 0.3   ""   ""
2009-07-20 21:00 0.0   ""   ""
2009-07-21 00:00 0.7   ""   ""
2009-07-21 03:00 1.0   ""   ""
2009-07-21 06:00 0.7   ""   ""
2009-07-21 09:00 1.0   ""   ""
2009-07-21 12:00 0.7   ""   ""
2009-07-21 15:00 1.0   ""   ""
2009-07-21 18:00 1.0   ""   ""
2009-07-21 21:00 1.0   ""   ""
2009-07-22 00:00 3.0   ""   ""
2009-07-22 03:00 5.7000003   ""   ""
